"Name","Company","Description"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"msedgewebview2","Microsoft Corporation","Microsoft Edge WebView2"
"MsMpEng",,
"MSPCManagerService",,
"msteams","Microsoft Corporation","Microsoft Teams (personal)"
"ms-teams","Microsoft Corporation","Microsoft Teams"
"ms-teams","Microsoft Corporation","Microsoft Teams"
"mstsc","Microsoft Corporation","Remote Desktop Connection"
"netsetman",,
"NisSrv",,
"Notepad","Microsoft Corporation","Notepad.exe"
"nsmservice",,
"OfficeClickToRun",,
"OneApp.IGCC.WinService",,
"OneDrive","Microsoft Corporation","Microsoft OneDrive"
"ONENOTE","Microsoft Corporation","Microsoft OneNote"
"ONENOTEM","Microsoft Corporation","Send to OneNote Tool"
"OpenConsole","Microsoft Corporation","OpenConsole.exe"
"openvpn-gui","OpenVPN GUI","OpenVPN GUI for Windows"
"openvpnserv",,
"OUTLOOK","Microsoft Corporation","Microsoft Outlook"
"powershell",,
"powershell","Microsoft Corporation","Windows PowerShell"
"powershell_ise","Microsoft Corporation","Windows PowerShell ISE"
"PrivacyIconClient","Intel Corporation","Intel(R) Management and Security Status"
"QtWebEngineProcess",,
"RAVBg64","Realtek Semiconductor","HD Audio Background Process"
"RAVBg64",,
"RAVBg64",,
"Receiver","Citrix Systems, Inc.","Citrix Workspace Application"
"redirector","Citrix Systems, Inc.","Citrix FTA, URL Redirector"
"Registry",,
"RtkAudioService64",,
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"RuntimeBroker","Microsoft Corporation","Runtime Broker"
"SDXHelper","Microsoft Corporation","Microsoft Office SDX Helper"
"SearchHost","Microsoft Corporation",""
"SearchIndexer",,
"Secure System",,
"SecurityHealthService",,
"SecurityHealthSystray","Microsoft Corporation","Windows Security notification icon"
"SelfService","Citrix Systems, Inc.","Citrix Workspace"
"SelfServicePlugin","Citrix Systems, Inc.","Citrix Workspace"
"services",,
"ServiceShell",,
"ShellExperienceHost","Microsoft Corporation","Windows Shell Experience Host"
"sihost","Microsoft Corporation","Shell Infrastructure Host"
"smartscreen","Microsoft Corporation","Windows Defender SmartScreen"
"smss",,
"ssh-agent",,
"StartMenuExperienceHost","Microsoft Corporation","Windows Start Experience Host"
"SupportAssistAgent",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost",,
"svchost","Microsoft Corporation","Host Process for Windows Services"
"svchost",,
"System",,
"SystemSettingsBroker","Microsoft Corporation","System Settings Broker"
"TabTip",,
"taskhostw","Microsoft Corporation","Host Process for Windows Tasks"
"taskhostw","Microsoft Corporation","Host Process for Windows Tasks"
"TbtP2pShortcutService",,
"TextInputHost","Microsoft Corporation",""
"ThunderboltService",,
"UcMapi","Microsoft Corporation","Skype for Business"
"uhssvc",,
"unsecapp",,
"UserOOBEBroker","Microsoft Corporation","User OOBE Broker"
"UshUpgradeService",,
"VIPAppService",,
"vmware-usbarbitrator64",,
"vmwetlm",,
"vmwsprrdpwks",,
"WavesSysSvc64",,
"wfcrun32","Citrix Systems, Inc.","Citrix Connection Manager"
"Widgets","Microsoft Corporation",""
"WidgetService","Microsoft Corporation","WidgetService.exe"
"WindowsTerminal","Microsoft Corporation","WindowsTerminal.exe"
"wininit",,
"winlogon",,
"wlanext",,
"WmiPrvSE",,
"WMIRegistrationService",,
"WUDFHost",,
"WUDFHost",,
